nan,nan_1,nan_2,nan_3,nan_4,nan_5,nan_6,nan_7,nan_8,nan_9,nan_10,nan_11,nan_12,nan_13,nan_14,nan_15,nan_16,nan_17,nan_18,nan_19,nan_20,nan_21,nan_22,nan_23,nan_24,nan_25,nan_26,nan_27,nan_28,nan_29,nan_30,nan_31,nan_32,nan_33,nan_34,nan_35,nan_36,nan_37
Deal name masked,Customer Name Code,Serial #,Nature of Work,Last executed month of recurring project,Execution Status,Data Delivery Date,Date of PO/LOI,Document Type,Probable Start Date,Probable End Date,BD/KAM Personnel code,Sector,Type of Work,Is any Skylark software platform part of the client deliverables in this deal?,Last invoice date,latest invoice no.,Amount in Rupees (Excl of GST) (Masked),Amount in Rupees (Incl of GST) (Masked),Billed Value in Rupees (Excl of GST.) (Masked),Billed Value in Rupees (Incl of GST.) (Masked),Collected Amount in Rupees (Incl of GST.) (Masked),Amount to be billed in Rs. (Exl. of GST) (Masked),Amount to be billed in Rs. (Incl. of GST) (Masked),Amount Receivable (Masked),AR Priority account,Quantity by Ops,Quantities as per PO,Quantity billed (till date),Balance in quantity,Invoice Status,Expected Billing Month,Actual Billing Month,Actual Collection Month,WO Status (billed),Collection status,Collection Date,Billing Status
Scooby-Doo,WOCOMPANY_002,SDPLDEAL-075,One time Project,nan,Completed,2025-09-27 00:00:00,2025-10-29 00:00:00,Purchase Order,2025-05-31 00:00:00,2025-06-03 00:00:00,OWNER_003,Mining,Raw images/videography,NONE,2026-01-14 00:00:00,SDPL/FY25-26/916,264398.08,311989.7344,nan,0,nan,264398.08,311989.7344,0,nan,nan,5360 HA,nan,5360,nan,nan,nan,nan,nan,nan,nan,Update Required
Appa,WOCOMPANY_038,SDPLDEAL-101,Proof of Concept,nan,Not Started,nan,2025-07-31 00:00:00,Purchase Order,2025-08-11 00:00:00,2025-08-15 00:00:00,OWNER_002,Powerline,Powerline Inspection,nan,nan,nan,154150,181897,nan,0,nan,154150,181897,0,nan,nan,4,nan,4,nan,nan,nan,nan,Open,nan,nan,nan
Sakura,WOCOMPANY_002,SDPLDEAL-002,Monthly Contract,Dec,Executed until current month,2025-12-31 00:00:00,2025-05-16 00:00:00,Purchase Order,2025-05-01 00:00:00,2026-04-30 00:00:00,OWNER_003,Mining,Volumetric survey,NONE,nan,nan,2984097.3600000003,3521234.8848,23959.682484,28272.42533112,nan,2960137.677516,3492962.4594688797,28272.42533112,nan,nan,3000,nan,3000,nan,nan,nan,nan,Open,nan,nan,Partially Billed
Sakura,WOCOMPANY_002,SDPLDEAL-003,One time Project,nan,Completed,nan,2025-05-08 00:00:00,Purchase Order,2025-05-20 00:00:00,2025-05-31 00:00:00,OWNER_003,Mining,Topography Survey: RGB,NONE,2025-09-15 00:00:00,SDPL/FY25-26/449,184980,218276.40000000002,184980,218276.40000000002,66880.13560000001,0,0,151396.26440000001,nan,nan,600,nan,600,Not billed yet,nan,nan,nan,Open,nan,nan,nan
SpongeBob,WOCOMPANY_032,SDPLDEAL-004,One time Project,nan,Completed,nan,2025-05-06 00:00:00,LOA/LOI,2025-05-24 00:00:00,2025-06-20 00:00:00,OWNER_003,Powerline,Powerline Inspection,NONE,nan,nan,1132250.2480000001,1336055.29264,1215157.5440800001,1433885.9020144,nan,-82907.29608,-97830.6093744,1433885.9020144,Priority,nan,59.33,nan,59.33,nan,nan,nan,nan,Open,nan,nan,BIlled
Edward Elric,WOCOMPANY_008,SDPLDEAL-005,One time Project,nan,Completed,nan,2025-05-16 00:00:00,Purchase Order,2025-05-20 00:00:00,2025-05-31 00:00:00,OWNER_003,Renewables,Hydrology,NONE,2025-07-18 00:00:00,SDPL/FY25-26/359,135652,160069.36000000002,135652,160069.36000000002,160069.36000000002,0,0,0,nan,nan,1,1,0,Fully Billed,nan,nan,nan,Closed,nan,nan,nan
Pumbaa,WOCOMPANY_047,SDPLDEAL-001,Annual Rate Contract,June,Ongoing,nan,2025-05-15 00:00:00,Purchase Order,2025-05-19 00:00:00,2025-11-19 00:00:00,OWNER_005,Renewables,Others,SPECTRA,2025-09-06 00:00:00,SDPL/FY25-26/431,3995568.0000000005,4714770.24,3662604,4321872.720000001,1405108.08,332964,392897.52,2916764.64,nan,nan,12,2,10,Partially Billed,nan,nan,nan,Open,nan,nan,nan
Sakura,WOCOMPANY_002,SDPLDEAL-006,Monthly Contract,November,Executed until current month,nan,2025-05-21 00:00:00,Purchase Order,2025-05-01 00:00:00,2026-04-30 00:00:00,OWNER_003,Mining,Topography Survey: RGB,NONE,2025-06-16 00:00:00,SDPL/FY25-26/064,727588,858553.8400000001,151417.191804,178672.28632872002,178672.182,576170.808196,679881.5536712802,0.10432872,nan,nan,1600,nan,1600,Partially Billed,nan,nan,nan,Open,nan,nan,nan
Sakura,WOCOMPANY_002,SDPLDEAL-007,Monthly Contract,Dec,Executed until current month,nan,2025-05-22 00:00:00,Purchase Order,2025-05-20 00:00:00,2026-04-30 00:00:00,OWNER_003,Mining,Topography Survey: RGB,NONE,2025-09-06 00:00:00,SDPL/FY25-26/435,2293752,2706627.3600000003,1742808.4435720001,2056513.9634149598,1225606.681988,550943.556428,650113.39658504,830907.2814269599,nan,nan,4800,nan,4800,Partially Billed,nan,nan,nan,Open,nan,nan,nan
Alias_160,WOCOMPANY_051,SDPLDEAL-008,One time Project,nan,Completed,2025-05-28 00:00:00,2025-04-10 00:00:00,Purchase Order,2025-04-20 00:00:00,2025-05-31 00:00:00,OWNER_001,Mining,Topography Survey: RGB,NONE,2025-07-23 00:00:00,SDPL/FY25-26/365,126649.64000000001,149446.57520000002,81360.37000000001,96005.2366,nan,45289.270000000004,53441.3386,96005.2366,nan,447.170583,460,nan,460,Fully Billed,nan,July,nan,Closed,nan,nan,nan
Alias_160,WOCOMPANY_051,SDPLDEAL-009,One time Project,nan,Completed,2025-05-30 00:00:00,2025-04-10 00:00:00,Purchase Order,2025-04-15 00:00:00,2025-05-31 00:00:00,OWNER_001,Mining,Topography Survey: RGB,NONE,2025-08-06 00:00:00,SDPL/FY25-26/385,1198053.8,1413703.4840000002,680159.917248,802588.70235264,397840.85152799997,517893.882752,611114.78164736,404747.85082464,nan,2424.42,2500,nan,2500,Fully Billed,nan,August,nan,Closed,nan,nan,nan
Alias_160,WOCOMPANY_051,SDPLDEAL-010,One time Project,nan,Completed,2025-06-10 00:00:00,2025-04-10 00:00:00,Purchase Order,2025-04-14 00:00:00,2025-05-31 00:00:00,OWNER_001,Mining,Topography Survey: RGB,NONE,2025-06-27 00:00:00,SDPL/FY25-26/096,112652.82,132930.32760000002,112652.82,132930.32760000002,nan,0,0,132930.32760000002,nan,629.83,630,nan,630,Fully Billed,nan,June,nan,Closed,nan,nan,nan
Alias_160,WOCOMPANY_051,SDPLDEAL-011,One time Project,nan,Completed,2025-05-20 00:00:00,2025-04-10 00:00:00,Purchase Order,2025-04-10 00:00:00,2025-05-31 00:00:00,OWNER_001,Mining,Topography Survey: RGB,NONE,2025-08-06 00:00:00,SDPL/FY25-26/382,643730.4,759601.8720000001,593662.48,700521.7264,641154.9234600001,50067.920000000006,59080.1456,59366.80294,nan,3319.81,3600,nan,3600,Fully Billed,nan,August,nan,Closed,nan,nan,nan
Alias_160,WOCOMPANY_051,SDPLDEAL-012,One time Project,nan,Completed,2025-06-17 00:00:00,2025-04-10 00:00:00,Purchase Order,2025-04-14 00:00:00,2025-06-16 00:00:00,OWNER_001,Mining,Topography Survey: RGB,NONE,2025-07-23 00:00:00,SDPL/FY25-26/366,770750,909485,380158.564,448587.10552,371722.89639600005,390591.43600000005,460897.8944800001,76864.20912399988,nan,2125.654959,2500,nan,2500,Fully Billed,nan,July,nan,Closed,nan,nan,nan
Alias_160,WOCOMPANY_051,SDPLDEAL-013,One time Project,nan,Completed,2025-05-13 00:00:00,2025-04-10 00:00:00,Purchase Order,2025-04-15 00:00:00,2025-05-31 00:00:00,OWNER_001,Mining,Topography Survey: RGB,NONE,2025-08-06 00:00:00,SDPL/FY25-26/383,214576.80000000002,253200.624,172555.51,203615.5018,186359.876808,42021.29,49585.122200000005,17255.624992,nan,964.831248,1200,nan,1200,Fully Billed,nan,August,nan,Closed,nan,nan,nan
Alias_160,WOCOMPANY_051,SDPLDEAL-014,One time Project,nan,Completed,2025-05-30 00:00:00,2025-04-10 00:00:00,Purchase Order,2025-04-09 00:00:00,2025-06-20 00:00:00,OWNER_001,Mining,Topography Survey: RGB,NONE,2025-09-24 00:00:00,SDPL/FY25-26/475,250339.6,295400.728,177469.31872,209413.79608960001,191666.41040000002,72870.28128000001,85986.93191040002,17747.3856896,nan,922.484,1400,nan,1400,Fully Billed,nan,September,nan,Closed,nan,nan,nan
Alias_160,WOCOMPANY_051,SDPLDEAL-015,One time Project,nan,Completed,2025-05-03 00:00:00,2025-04-10 00:00:00,Purchase Order,2025-04-22 00:00:00,2025-06-20 00:00:00,OWNER_001,Mining,Topography Survey: RGB,NONE,2025-08-06 00:00:00,SDPL/FY25-26/384,109791.796,129554.31928,109791.796,129554.31928,118573.90648,0,0,10980.4128,nan,613.57,614,nan,614,Fully Billed,nan,August,nan,Closed,nan,nan,nan
Alias_160,WOCOMPANY_051,SDPLDEAL-016,One time Project,nan,Completed,2025-05-06 00:00:00,2025-04-10 00:00:00,Purchase Order,2025-04-25 00:00:00,2025-06-13 00:00:00,OWNER_001,Mining,Topography Survey: RGB,NONE,2025-09-08 00:00:00,SDPL/FY25-26/437,210799.50840000002,248743.419912,210799.50840000002,248743.419912,189719.471236,0,0,59023.94867600001,Priority,1213.9,1178.88,nan,1178.88,Fully Billed,nan,September,nan,Closed,nan,nan,nan
Alias_160,WOCOMPANY_051,SDPLDEAL-017,One time Project,nan,Completed,2025-05-13 00:00:00,2025-04-10 00:00:00,Purchase Order,2025-04-25 00:00:00,2025-05-31 00:00:00,OWNER_001,Mining,Topography Survey: RGB,NONE,2025-07-10 00:00:00,SDPL/FY25-26/133,62584.9,73850.182,62584.9,73850.182,67591.91397600001,0,0,6258.268024,nan,348.2,350,nan,350,Fully Billed,nan,July,nan,Closed,nan,nan,nan
Alias_160,WOCOMPANY_051,SDPLDEAL-018,One time Project,nan,Completed,2025-05-06 00:00:00,2025-04-10 00:00:00,Purchase Order,2025-04-28 00:00:00,2025-05-31 00:00:00,OWNER_001,Mining,Topography Survey: RGB,NONE,2025-06-29 00:00:00,SDPL/FY25-26/099,260360.58320000002,307225.488176,260353.184,307216.75712,281181.83334400004,7.3992,8.731056,26034.923776000003,nan,1437.2,1456,nan,1456,Fully Billed,nan,July,nan,Closed,nan,nan,nan
Alias_160,WOCOMPANY_051,SDPLDEAL-019,One time Project,nan,Completed,2025-06-14 00:00:00,2025-04-10 00:00:00,Purchase Order,2025-05-01 00:00:00,2025-05-30 00:00:00,OWNER_001,Mining,Topography Survey: RGB,NONE,2025-06-27 00:00:00,SDPL/FY25-26/110,157535.13400000002,185891.45812000002,157399.23536000002,185731.09772480003,185891.3348,135.89864,160.3603952,-160.23707520000002,nan,880.27,881,nan,881,Fully Billed,nan,July,nan,Closed,nan,nan,nan
Alias_160,WOCOMPANY_051,SDPLDEAL-020,One time Project,nan,Completed,2025-06-03 00:00:00,2025-04-10 00:00:00,Purchase Order,2025-05-02 00:00:00,2025-05-30 00:00:00,OWNER_001,Mining,Topography Survey: RGB,NONE,2025-07-19 00:00:00,SDPL/FY25-26/360,227987.85,269025.663,215828.49800000002,254677.62764000002,233094.38321600002,12159.352,14348.03536,21583.244424,nan,1206.67,1275,1207,68,Fully Billed,nan,July,nan,Closed,nan,nan,nan
Mojo Jojo,WOCOMPANY_036,SDPLDEAL-021,One time Project,nan,Completed,2025-06-24 00:00:00,2025-04-10 00:00:00,Purchase Order,2025-05-01 00:00:00,2025-05-31 00:00:00,OWNER_001,Mining,Topography Survey: RGB,NONE,2025-08-08 00:00:00,SDPL/FY25-26/399,151275.4108,178504.98474400002,125206.796,147744.01928,147743.526,26068.614800000003,30760.965464,0.49328000000000005,nan,383.54,446.07,nan,446.07,Fully Billed,nan,August,nan,Closed,nan,nan,nan
Mojo Jojo,WOCOMPANY_036,SDPLDEAL-022,One time Project,nan,Completed,2025-05-07 00:00:00,2025-04-10 00:00:00,Purchase Order,2025-05-01 00:00:00,2025-05-31 00:00:00,OWNER_001,Mining,Topography Survey: RGB,NONE,2025-08-05 00:00:00,SDPL/FY25-26/143,1164911.55,1374595.6290000002,1138011.7584000002,1342853.874912,1342853.6776,26899.7916,31741.754088,0.19731199987668,nan,3352.936219,3435,nan,3435,Fully Billed,nan,August,nan,Closed,nan,nan,nan
Mojo Jojo,WOCOMPANY_036,SDPLDEAL-024,One time Project,nan,Completed,2025-06-07 00:00:00,2025-04-10 00:00:00,Purchase Order,2025-05-01 00:00:00,2025-05-31 00:00:00,OWNER_001,Mining,Topography Survey: RGB,NONE,2025-08-06 00:00:00,SDPL/FY25-26/389,371860.36120000004,438795.22621600004,365246.7096,430991.117328,430990.77203200007,6613.6516,7804.108888000001,0.34529600000000005,nan,nan,662.27,nan,662.27,Fully Billed,nan,August,nan,Closed,nan,nan,nan
Mojo Jojo,WOCOMPANY_036,SDPLDEAL-023,One time Project,nan,Completed,2025-06-24 00:00:00,2025-04-10 00:00:00,Purchase Order,2025-05-01 00:00:00,2025-05-31 00:00:00,OWNER_001,Mining,Topography Survey: RGB,NONE,2025-08-07 00:00:00,SDPL/FY25-26/394,440190.74000000005,519425.07320000004,396450.3692,467811.43565600005,467810.72040000005,43740.370800000004,51613.637544,0.715256,nan,1073.63,1180,nan,1180,Fully Billed,nan,September,nan,Closed,nan,nan,nan
Alias_160,WOCOMPANY_051,SDPLDEAL-025,One time Project,nan,Completed,2025-07-10 00:00:00,2025-04-10 00:00:00,Purchase Order,2025-05-07 00:00:00,2025-06-15 00:00:00,OWNER_001,Mining,Topography Survey: RGB,NONE,2025-07-25 00:00:00,SDPL/FY25-26/371,170274.09,200923.42620000002,170274.09,200923.42620000002,nan,0,0,200923.42620000002,nan,952.24,952.24,nan,952.24,Fully Billed,nan,July,nan,Closed,nan,nan,nan
Tanjiro,WOCOMPANY_005,SDPLDEAL-026,One time Project,nan,Completed,2025-06-11 00:00:00,2025-04-10 00:00:00,Purchase Order,2025-05-01 00:00:00,2025-05-30 00:00:00,OWNER_001,Mining,Topography Survey: RGB,NONE,2025-08-07 00:00:00,SDPL/FY25-26/395,183130.2,216093.636,179510.758,211822.69444000002,17951.6924,3619.442,4270.94156,193871.00204000002,nan,808.664192,825,nan,825,Fully Billed,nan,July,nan,Closed,nan,nan,nan
Tanjiro,WOCOMPANY_005,SDPLDEAL-027,One time Project,nan,Completed,2025-06-16 00:00:00,2025-04-10 00:00:00,Purchase Order,2025-05-01 00:00:00,2025-05-30 00:00:00,OWNER_001,Mining,Topography Survey: RGB,NONE,2025-08-08 00:00:00,SDPL/FY25-26/398,937848.6000000001,1106661.348,937848.6000000001,1106661.348,nan,0,0,1106661.348,nan,4178.438199,4225,nan,4225,Fully Billed,nan,August,nan,Closed,nan,nan,nan
Tanjiro,WOCOMPANY_005,SDPLDEAL-028,One time Project,nan,Completed,2025-06-16 00:00:00,2025-04-10 00:00:00,Purchase Order,2025-05-01 00:00:00,2025-05-30 00:00:00,OWNER_001,Mining,Topography Survey: RGB,NONE,2025-08-07 00:00:00,SDPL/FY25-26/396,355161.60000000003,419090.688,336437.9244,396996.75079200004,nan,18723.675600000002,22093.937208,396996.75079200004,nan,1505.64583,1600,nan,1600,Fully Billed,nan,August,nan,Closed,nan,nan,nan
Tanjiro,WOCOMPANY_005,SDPLDEAL-029,One time Project,nan,Completed,2025-06-13 00:00:00,2025-04-10 00:00:00,Purchase Order,2025-05-01 00:00:00,2025-05-30 00:00:00,OWNER_001,Mining,Topography Survey: RGB,NONE,2025-08-06 00:00:00,SDPL/FY25-26/392,358830.86328000005,423420.41867040005,358830.37,423419.83660000004,nan,0.49328000000000005,0.5820704,423419.83660000004,nan,1626.320549,1616.53,nan,1616.53,Fully Billed,nan,August,nan,Closed,nan,nan,nan
Armin,WOCOMPANY_020,SDPLDEAL-030,One time Project,nan,Completed,2025-05-09 00:00:00,2025-04-10 00:00:00,Purchase Order,2025-04-15 00:00:00,2025-05-30 00:00:00,OWNER_001,Mining,Topography Survey: RGB,NONE,2025-06-24 00:00:00,SDPL/FY25-26/084,135488.711988,159876.68014584002,135489.2176,159877.276768,159876.98080000002,-0.505612,-0.59662216,0.295968,nan,396.22,406,nan,406,Fully Billed,nan,June,nan,Closed,nan,nan,nan
Armin,WOCOMPANY_020,SDPLDEAL-031,One time Project,nan,Completed,2025-05-09 00:00:00,2025-04-10 00:00:00,Purchase Order,2025-04-15 00:00:00,2025-05-30 00:00:00,OWNER_001,Mining,Topography Survey: RGB,NONE,2025-06-24 00:00:00,SDPL/FY25-26/086,236813.8624,279440.357632,236813.8624,279440.357632,4737.9544000000005,0,0,274702.403232,nan,705.02,711.23,nan,711.23,Fully Billed,nan,June,nan,Closed,nan,nan,nan
Armin,WOCOMPANY_020,SDPLDEAL-032,One time Project,nan,Completed,2025-05-09 00:00:00,2025-04-10 00:00:00,Purchase Order,2025-04-15 00:00:00,2025-05-30 00:00:00,OWNER_001,Mining,Topography Survey: RGB,NONE,2025-06-24 00:00:00,SDPL/FY25-26/085,382095.92120000004,450873.18701600004,382095.92120000004,450873.18701600004,450873.95160000003,0,0,-0.764584,nan,1144.13,1147.56,nan,1147.56,Fully Billed,nan,June,nan,Closed,nan,nan,nan
Jessie,WOCOMPANY_043,SDPLDEAL-033,Annual Rate Contract,June,Completed,2025-06-15 00:00:00,2025-04-10 00:00:00,Purchase Order,2025-04-21 00:00:00,2025-05-31 00:00:00,OWNER_001,Mining,Topography Survey: RGB,NONE,2025-08-21 00:00:00,SDPL/FY25-26/418,755939.268,892008.33624,545913.71592,644178.1847855999,383312.436004,210025.55208,247830.1514544,260865.7487815999,Priority,6539.578,5838,nan,5838,Partially Billed,nan,August,nan,Closed,nan,nan,nan
Naruto,WOCOMPANY_001,SDPLDEAL-034,One time Project,nan,Completed,nan,2025-05-27 00:00:00,Purchase Order,2025-05-27 00:00:00,2025-06-30 00:00:00,OWNER_003,Renewables,Hydrology,NONE,2025-09-16 00:00:00,SDPL/FY25-26/455,308300,363794,308300,363794,120853.6,0,0,242940.40000000002,Priority,nan,1,nan,1,Fully Billed,nan,nan,nan,Closed,nan,nan,nan
Inosuke,WOCOMPANY_045,SDPLDEAL-035,Proof of Concept,nan,Ongoing,nan,2025-05-13 00:00:00,LOA/LOI,2025-06-01 00:00:00,2025-06-30 00:00:00,OWNER_003,Railways,Road/rail survey,NONE,nan,nan,1.2332,1.455176,nan,0,nan,1.2332,1.455176,0,nan,nan,1,nan,1,nan,nan,nan,nan,Open,nan,nan,Not Billable
Alias_162,WOCOMPANY_052,SDPLDEAL-037,Annual Rate Contract,Dec,Completed,2025-06-18 00:00:00,2025-04-25 00:00:00,Purchase Order,2025-06-04 00:00:00,2025-06-30 00:00:00,OWNER_001,Mining,Topography Survey: RGB,NONE,nan,nan,2250751.5492000002,2655886.828056,2158261.91916,2546749.0646088,nan,92489.63004,109137.76344719999,2546749.0646088,Priority,nan,300,nan,300,Partially Billed,nan,July,nan,Open,nan,nan,nan
Alias_162,WOCOMPANY_052,SDPLDEAL-038,One time Project,nan,Completed,2025-06-22 00:00:00,2025-04-10 00:00:00,Purchase Order,2025-06-12 00:00:00,2025-06-30 00:00:00,OWNER_001,Mining,Topography Survey: RGB,NONE,2025-08-01 00:00:00,SDPL/FY25-26/372,476015.2,561697.936,476382.69360000006,562131.578448,562132.0224,-367.4936,-433.642448,-0.443952,nan,nan,643,nan,643,Fully Billed,nan,July,nan,Closed,nan,nan,nan
Alphonse,WOCOMPANY_009,SDPLDEAL-040,One time Project,nan,Completed,2025-09-23 00:00:00,2025-06-11 00:00:00,Purchase Order,2025-06-16 00:00:00,2025-07-04 00:00:00,OWNER_001,Renewables,Topography Survey: RGB,NONE,nan,nan,1426208.132,1682925.59576,nan,0,nan,1426208.132,1682925.59576,0,nan,nan,2057 Acr,nan,2057,Not billed yet,nan,nan,nan,Open,nan,nan,nan
Alphonse,WOCOMPANY_009,SDPLDEAL-041,One time Project,nan,Completed,2025-06-11 00:00:00,2025-06-11 00:00:00,Purchase Order,2025-06-02 00:00:00,2025-06-13 00:00:00,OWNER_001,Renewables,"Hydrology, Topography Survey: RGB",NONE,2025-06-17 00:00:00,SDPL/FY25-26/068,443952,523863.36000000004,443952,523863.36000000004,523863.36000000004,0,0,0,nan,nan,1,1,0,Fully Billed,nan,June,nan,Closed,nan,nan,nan
Alphonse,WOCOMPANY_009,SDPLDEAL-042,One time Project,nan,Completed,nan,2025-06-11 00:00:00,Purchase Order,2025-06-02 00:00:00,2025-06-11 00:00:00,OWNER_001,Renewables,"Topography Survey: RGB, Hydrology",NONE,2025-06-17 00:00:00,SDPL/FY25-26/069,881738,1040450.8400000001,881738,1040450.8400000001,895103.4216,0,0,145347.4184,nan,nan,1,1,0,Fully Billed,nan,September,nan,Closed,nan,nan,nan
Erwin,WOCOMPANY_021,SDPLDEAL-043,One time Project,nan,Completed,2025-06-15 00:00:00,2025-04-10 00:00:00,Purchase Order,2025-06-16 00:00:00,2025-06-23 00:00:00,OWNER_001,Mining,Topography Survey: RGB,NONE,2025-09-16 00:00:00,SDPL/FY25-26/453,16648.2,19644.876,16648.2,19644.876,nan,0,0,19644.876,nan,nan,50 HA,nan,50,Fully Billed,nan,September,nan,Closed,nan,nan,nan
Tanjiro,WOCOMPANY_005,SDPLDEAL-044,One time Project,nan,Completed,2025-07-02 00:00:00,2025-04-10 00:00:00,LOA/LOI,2025-06-14 00:00:00,2025-06-23 00:00:00,OWNER_001,Mining,Topography Survey: RGB,NONE,2025-08-20 00:00:00,SDPL/FY25-26/407,12774.7188,15074.168184000002,12774.7188,15074.168184000002,15074.6368,0,0,-0.46861600000000003,nan,nan,57.55 HA,nan,57.55,Fully Billed,nan,August,nan,Closed,nan,nan,nan
Tanjiro,WOCOMPANY_051,SDPLDEAL-046,One time Project,nan,Completed,2025-05-05 00:00:00,2025-04-10 00:00:00,Purchase Order,2025-05-22 00:00:00,2025-06-22 00:00:00,OWNER_001,Mining,Topography Survey: RGB,NONE,2025-07-25 00:00:00,SDPL/FY25-26/369,390952.7636,461324.2610480001,390887.40400000004,461247.13672,461247.63,65.3596,77.124328,-0.49328000000000005,nan,2246.97,2186.54 HA,nan,2186.54,Fully Billed,nan,July,nan,Closed,nan,nan,nan
Tanjiro,WOCOMPANY_051,SDPLDEAL-047,One time Project,nan,Completed,2025-05-26 00:00:00,2025-04-10 00:00:00,Purchase Order,2025-05-15 00:00:00,2025-06-16 00:00:00,OWNER_001,Mining,Topography Survey: RGB,NONE,2025-07-02 00:00:00,SDPL/FY25-26/115,476539.31000000006,562316.3858,469116.74086,553557.7542148001,506645.90254800004,7422.5691400000005,8758.6315852,46911.85166680001,nan,1993.1968,2665 HA,2623.49,41.51,Fully Billed,nan,July,nan,Closed,nan,nan,nan
Tanjiro,WOCOMPANY_051,SDPLDEAL-048,One time Project,nan,Completed,2025-05-13 00:00:00,2025-04-10 00:00:00,Purchase Order,2025-04-14 00:00:00,2025-06-30 00:00:00,OWNER_001,Mining,Topography Survey: RGB,NONE,2025-06-27 00:00:00,SDPL/FY25-26/097,145842.48654,172094.13411720004,145842.48654,172094.13411720004,157509.754744,0,0,14584.3793732,nan,815.61,815.6 HA,815.61,-0.01,Fully Billed,nan,July,nan,Closed,nan,nan,nan
Tanjiro,WOCOMPANY_051,SDPLDEAL-049,One time Project,nan,Completed,2025-06-10 00:00:00,2025-04-10 00:00:00,Purchase Order,2025-04-21 00:00:00,2025-07-21 00:00:00,OWNER_001,Mining,Topography Survey: RGB,NONE,2025-07-22 00:00:00,SDPL/FY25-26/363,707388.184,834718.05712,707388.184,834718.05712,763979.7320000001,0,0,70738.32512000001,nan,3961.22,3956HA,3956,0,Fully Billed,nan,September,nan,Closed,nan,nan,nan
Timon,WOCOMPANY_046,SDPLDEAL-050,Proof of Concept,nan,Completed,nan,2025-06-20 00:00:00,Email Confirmation,2025-06-23 00:00:00,2025-08-10 00:00:00,OWNER_001,Renewables,"Videography for construction monitoring, Topography Survey: RGB",NONE,nan,nan,1.2332,1.455176,nan,0,nan,1.2332,1.455176,0,nan,nan,2 location,nan,2,nan,nan,nan,nan,Open,nan,nan,nan
Alphonse,WOCOMPANY_009,SDPLDEAL-051,One time Project,nan,Completed,nan,2025-06-17 00:00:00,Purchase Order,2025-01-01 00:00:00,2025-06-20 00:00:00,OWNER_005,Renewables,Others,SPECTRA,2025-06-20 00:00:00,SDPL/FY25-26/080,2466400,2910352,2466400,2910352,2910352,0,0,0,nan,nan,1,1,0,Fully Billed,nan,nan,nan,Closed,nan,nan,nan
Mr. Krabs,WOCOMPANY_031,SDPLDEAL-053,Monthly Contract,May,Executed until current month,nan,2025-01-21 00:00:00,Purchase Order,2025-05-15 00:00:00,2025-05-19 00:00:00,OWNER_004,Mining,LiDAR Survey: LiDAR,SPECTRA,2025-06-20 00:00:00,SDPL/FY25-26/083,184980,218276.40000000002,184980,218276.40000000002,nan,0,0,218276.40000000002,nan,nan,7 mines,1,6,Fully Billed,nan,nan,nan,Closed,nan,nan,nan
Mojo Jojo,WOCOMPANY_036,SDPLDEAL-054,One time Project,nan,Completed,2025-01-23 00:00:00,2025-05-14 00:00:00,Purchase Order,2025-06-04 00:00:00,2025-06-11 00:00:00,OWNER_001,Mining,Topography Survey: RGB,NONE,2025-07-31 00:00:00,SDPL/FY25-26/377,65976.2,77851.916,65967.56760000001,77841.729768,77841.729768,8.6324,10.186232,0,nan,nan,194.52 Ha,nan,194.52,Fully Billed,nan,July,nan,Closed,nan,nan,nan
Asuna,WOCOMPANY_018,SDPLDEAL-055,Monthly Contract,May,Executed until current month,nan,2023-04-11 00:00:00,Purchase Order,nan,nan,OWNER_001,Mining,Videography for construction monitoring,NONE,2025-03-31 00:00:00,SDPL/FY24-25/565,1775808,2095453.4400000002,369960,436552.80000000005,224434.03890400002,1405848,1658900.6400000001,212118.761096,nan,nan,24 Months,nan,24,Partially Billed,nan,nan,nan,Open,nan,nan,nan
Sakura,WOCOMPANY_002,SDPLDEAL-056,One time Project,nan,Completed,nan,2025-02-28 00:00:00,Purchase Order,2025-05-08 00:00:00,nan,OWNER_008,Mining,Raw images/videography,NONE,nan,nan,30830.000000000004,36379.4,30830.000000000004,36379.4,nan,0,0,36379.4,nan,nan,73 Ha,nan,73,Fully Billed,nan,nan,nan,Closed,nan,nan,nan
Asuna,WOCOMPANY_018,SDPLDEAL-057,Monthly Contract,May,Executed until current month,nan,2024-07-12 00:00:00,Purchase Order,nan,nan,OWNER_001,Mining,Videography for construction monitoring,NONE,2025-03-31 00:00:00,SDPL/FY24-25/566,665928,785795.04,110988,130965.84000000001,81392.4332,554940,654829.2000000001,49573.406800000004,nan,nan,18 Months,nan,18,Partially Billed,nan,nan,nan,Open,nan,nan,nan
Gohan,WOCOMPANY_026,SDPLDEAL-058,One time Project,nan,Completed,nan,2025-03-28 00:00:00,Purchase Order,nan,nan,OWNER_001,Construction,"Topography Survey: RGB, Hydrology",DMO,2025-07-18 00:00:00,SDPL/FY25-26/358,1514246.28,1786810.6104000001,1514246.28,1786810.6104000001,1635385.9824,0,0,151424.628,nan,nan,1,1,0,Fully Billed,nan,August,nan,Closed,nan,nan,nan
