nan,nan_1,nan_2,nan_3,nan_4,nan_5,nan_6,nan_7,nan_8,nan_9,nan_10,nan_11,nan_12,nan_13,nan_14,nan_15,nan_16,nan_17,nan_18,nan_19,nan_20,nan_21,nan_22,nan_23,nan_24,nan_25,nan_26,nan_27,nan_28,nan_29,nan_30,nan_31,nan_32,nan_33,nan_34,nan_35,nan_36,nan_37
Deal name masked,Customer Name Code,Serial #,Nature of Work,Last executed month of recurring project,Execution Status,Data Delivery Date,Date of PO/LOI,Document Type,Probable Start Date,Probable End Date,BD/KAM Personnel code,Sector,Type of Work,Is any Skylark software platform part of the client deliverables in this deal?,Last invoice date,latest invoice no.,Amount in Rupees (Excl of GST) (Masked),Amount in Rupees (Incl of GST) (Masked),Billed Value in Rupees (Excl of GST.) (Masked),Billed Value in Rupees (Incl of GST.) (Masked),Collected Amount in Rupees (Incl of GST.) (Masked),Amount to be billed in Rs. (Exl. of GST) (Masked),Amount to be billed in Rs. (Incl. of GST) (Masked),Amount Receivable (Masked),AR Priority account,Quantity by Ops,Quantities as per PO,Quantity billed (till date),Balance in quantity,Invoice Status,Expected Billing Month,Actual Billing Month,Actual Collection Month,WO Status (billed),Collection status,Collection Date,Billing Status
GG go,WOCOMPANY_035,SDPLDEAL-094,One time Project,nan,Completed,nan,2025-07-10 00:00:00,Purchase Order,2025-07-15 00:00:00,2025-07-31 00:00:00,OWNER_003,Renewables,Hydrology,NONE,nan,nan,749785.6000000001,884747.008,nan,0,nan,749785.6000000001,884747.008,0,nan,nan,1415 Acres,nan,1415,nan,nan,nan,nan,nan,nan,nan,Update Required
Subaru,WOCOMPANY_019,SDPLDEAL-095,One time Project,nan,Completed,nan,2025-07-17 00:00:00,Purchase Order,2025-05-01 00:00:00,2025-05-30 00:00:00,OWNER_001,Mining,Topography Survey: RGB,NONE,2025-07-28 00:00:00,SDPL/FY25-26/373,155665.60280000002,183685.411304,155665.60280000002,183685.411304,3115.0632,0,0,180570.348104,nan,813.635,870.45 HA,nan,870.45,Fully Billed,nan,July,nan,Closed,nan,nan,nan
Alphonse,WOCOMPANY_009,SDPLDEAL-096,One time Project,nan,Completed,nan,2025-07-16 00:00:00,Purchase Order,2025-07-14 00:00:00,2025-07-28 00:00:00,OWNER_001,Renewables,Topography Survey: RGB,NONE,2025-08-20 00:00:00,SDPL/FY25-26/413,986560.0000000001,1164140.8,986560.0000000001,1164140.8,nan,0,0,1164140.8,nan,nan,4 Sites,nan,4,Fully Billed,nan,September,nan,Closed,nan,nan,nan
Alias_160,WOCOMPANY_051,SDPLDEAL-097,One time Project,nan,Completed,nan,2025-04-10 00:00:00,nan,2025-05-01 00:00:00,2025-05-31 00:00:00,OWNER_001,Mining,Topography Survey: RGB,SPECTRA,2025-07-25 00:00:00,SDPL/FY25-26/370,84190.564,99344.86552,79060.452,93291.33336,85383.906976,5130.112,6053.532160000001,7907.426384,nan,442.14,446 HA,nan,446,Fully Billed,nan,July,nan,Closed,nan,nan,nan
Erwin,WOCOMPANY_021,SDPLDEAL-098,One time Project,nan,Completed,nan,2025-05-22 00:00:00,Purchase Order,2025-05-26 00:00:00,2025-06-25 00:00:00,OWNER_001,Mining,Topography Survey: RGB,SPECTRA,2025-08-20 00:00:00,SDPL/FY25-26/405,319811.922,377378.06796,319811.922,377378.06796,nan,0,0,377378.06796,nan,nan,960.5 HA,nan,960.5,Fully Billed,nan,August,nan,Closed,nan,nan,nan
Goku,WOCOMPANY_003,SDPLDEAL-099,One time Project,nan,Ongoing,nan,2025-07-23 00:00:00,Purchase Order,2025-07-28 00:00:00,2025-09-30 00:00:00,OWNER_003,Railways,"LiDAR Survey: LiDAR, Road/rail survey",NONE,2025-09-01 00:00:00,SDPL/FY25-26/424,14391444,16981903.92,246640.00000000003,291035.2,291035.2,14144804,16690868.72,0,nan,nan,778,nan,778,nan,nan,nan,nan,nan,nan,nan,Partially Billed
Erwin,WOCOMPANY_021,SDPLDEAL-100,Annual Rate Contract,nan,Completed,nan,2025-05-28 00:00:00,Purchase Order,2025-07-01 00:00:00,2025-07-15 00:00:00,OWNER_001,Mining,Volumetric survey,SPECTRA,2025-08-20 00:00:00,SDPL/FY25-26/406,791874.716,934412.1648799999,594265.416144,701233.19104992,nan,197609.299856,233178.97383008,701233.19104992,nan,nan,2379.7 HA,nan,2379.7,Fully Billed,nan,Dec,nan,Open,nan,nan,nan
Nami,WOCOMPANY_002,SDPLDEAL-102,One time Project,nan,Completed,nan,2025-08-02 00:00:00,Purchase Order,2025-08-04 00:00:00,2025-08-09 00:00:00,OWNER_003,Mining,Raw images/videography,NONE,nan,nan,64373.04,75960.1872,nan,0,nan,64373.04,75960.1872,0,nan,nan,1,nan,1,nan,nan,nan,nan,nan,nan,nan,Update Required
Ben Tennyson,WOCOMPANY_033,SDPLDEAL-103,One time Project,nan,Completed,nan,2025-08-01 00:00:00,Purchase Order,2025-07-01 00:00:00,2025-07-31 00:00:00,OWNER_003,Renewables,"Hydrology, Topography Survey: RGB",NONE,nan,nan,487114.00000000006,574794.52,nan,0,nan,487114.00000000006,574794.52,0,nan,nan,1,nan,1,nan,nan,nan,nan,nan,nan,nan,Update Required
Subaru,WOCOMPANY_019,SDPLDEAL-105,One time Project,nan,Completed,nan,2025-08-06 00:00:00,Purchase Order,2025-05-01 00:00:00,2025-05-29 00:00:00,OWNER_001,Mining,Topography Survey: RGB,SPECTRA,2025-08-06 00:00:00,2025-08-06,20563.61,24265.059800000003,20251.6104,23896.900272,23896.9496,311.99960000000004,368.159528,-0.049328000000000004,nan,nan,115HA,nan,115,Fully Billed,nan,August,nan,Closed,nan,nan,nan
